date,time [h]:mm:ss.000,timestamp,longitude,latitude,altitude,speed,bearing,accuracy
2018-09-10,09:46:21.000,1536572781000,8.5093101,46.6001462,1590.5948142318666,5.386943817138672,38,10
2018-09-10,09:46:22.000,1536572782000,8.5093634,46.6001891,1591.0142101644606,5.445260047912598,30,10
2018-09-10,09:46:23.000,1536572783000,8.509403,46.6002367,1591.1822566299013,5.484775543212891,26,10
2018-09-10,09:46:24.000,1536572784000,8.5094372,46.6002886,1591.074287538147,5.576289653778076,25,10
2018-09-10,09:46:26.000,1536572786000,8.5095546,46.6004075,1590.4075815420606,5.892819881439209,46,10
2018-09-10,09:46:28.000,1536572788000,8.5097117,46.6005131,1589.3688924256783,7.409310817718506,46,10
2018-09-10,09:46:30.000,1536572790000,8.5098547,46.6006119,1588.2422813803046,7.505573749542236,48,10
2018-09-10,09:46:32.000,1536572792000,8.5100081,46.6006822,1587.2245094372956,6.998342990875244,69,10
2018-09-10,09:46:34.000,1536572794000,8.5101703,46.600729,1586.3856205923278,6.504500389099121,65,10
2018-09-10,09:46:36.000,1536572796000,8.5103146,46.6007751,1585.8917346313876,6.105900287628174,68,10
2018-09-10,09:46:37.000,1536572797000,8.5103879,46.6007965,1585.7043077333794,6.049402713775635,68,10
2018-09-10,09:46:38.000,1536572798000,8.5104639,46.6008163,1585.504228895097,6.216421604156494,68,10
2018-09-10,09:46:39.000,1536572799000,8.5105393,46.6008396,1585.3000344409018,6.150427341461182,68,10
2018-09-10,09:46:41.000,1536572801000,8.510681,46.6008885,1585.0810451940627,6.0260329246521,66,10
2018-09-10,09:46:42.000,1536572802000,8.5107517,46.6009122,1584.9825708690967,6.001187801361084,61,10
2018-09-10,09:46:43.000,1536572803000,8.5108193,46.6009382,1584.8554123093922,5.920547962188721,58,10
2018-09-10,09:46:44.000,1536572804000,8.5108826,46.600964,1584.7903989112228,5.704691410064697,60,10
2018-09-10,09:46:46.000,1536572806000,8.5109933,46.6010197,1584.4678916334367,5.311131000518799,52,10
2018-09-10,09:46:47.000,1536572807000,8.5110431,46.601045,1584.387953008996,4.897993564605713,54,10
2018-09-10,09:46:48.000,1536572808000,8.511088,46.6010686,1584.3106619428713,4.669900894165039,53,10
2018-09-10,09:46:49.000,1536572809000,8.5111262,46.6010915,1584.302329737949,4.149746417999268,52,10
2018-09-10,09:46:51.000,1536572811000,8.5111478,46.6011037,1584.3013315586757,0,64,10
2018-09-10,09:46:53.000,1536572813000,8.5111595,46.6011067,1584.256928113421,0.7943785786628723,260,10
2018-09-10,09:46:55.000,1536572815000,8.5111225,46.6010853,1584.0364533734348,3.2636704444885254,230,10
2018-09-10,09:46:56.000,1536572816000,8.511014,46.6010342,1583.764498536922,4.3620991706848145,239,10
2018-09-10,09:46:58.000,1536572818000,8.5108782,46.6009747,1583.469518814282,5.583390235900879,238,10
2018-09-10,09:46:59.000,1536572819000,8.5108067,46.6009408,1583.3946703215233,5.903931140899658,243,10
2018-09-10,09:47:00.000,1536572820000,8.510731,46.6009116,1583.3163534679009,6.140295505523682,242,10
2018-09-10,09:47:02.000,1536572822000,8.5105732,46.6008538,1583.0874322579643,6.548786163330078,245,10
2018-09-10,09:47:03.000,1536572823000,8.510491,46.600827,1583.0169516519688,6.553674221038818,252,10
2018-09-10,09:47:05.000,1536572825000,8.5103233,46.6007856,1582.96785964274,6.719790935516357,251,10
2018-09-10,09:47:07.000,1536572827000,8.5101603,46.6007424,1582.8885515838747,6.4130048751831055,250,10
2018-09-10,09:47:08.000,1536572828000,8.5100811,46.6007218,1582.8580226263734,6.48276424407959,245,10
2018-09-10,09:47:10.000,1536572830000,8.5099247,46.6006603,1582.6497408340877,6.8333420753479,237,10
2018-09-10,09:47:11.000,1536572831000,8.5098503,46.6006217,1582.71522754521,6.811801910400391,227,10
2018-09-10,09:47:12.000,1536572832000,8.5097885,46.600576,1582.8079580949616,6.66807222366333,225,10
2018-09-10,09:47:14.000,1536572834000,8.5096745,46.6004951,1583.0055553154239,6.180234432220459,231,10
2018-09-10,09:47:15.000,1536572835000,8.5096126,46.6004627,1583.222773260441,6.077128887176514,231,10
2018-09-10,09:47:17.000,1536572837000,8.5095081,46.6003856,1583.3030440811247,5.8108086585998535,216,10
2018-09-10,09:47:19.000,1536572839000,8.5094379,46.6003044,1583.600584871137,5.119194507598877,200,10
2018-09-10,09:47:21.000,1536572841000,8.5093994,46.6002306,1583.8156598831877,4.3224196434021,196,10
2018-09-10,09:47:22.000,1536572842000,8.5093917,46.6002152,1583.8303215412789,3.800224781036377,216,10
2018-09-10,09:47:24.000,1536572844000,8.5093584,46.6001779,1583.867237242287,3.8197364807128906,230,10
2018-09-10,09:47:26.000,1536572846000,8.5092464,46.6000956,1584.2395324877941,4.35413932800293,227,10
2018-09-10,09:47:27.000,1536572847000,8.5092016,46.6000639,1584.5017540572069,4.6739959716796875,221,10
2018-09-10,09:47:28.000,1536572848000,8.5091593,46.6000307,1584.7380934628682,4.694020748138428,227,10
2018-09-10,09:47:30.000,1536572850000,8.5090731,46.59997,1585.094142647969,4.604367733001709,227,10
2018-09-10,09:47:32.000,1536572852000,8.50899,46.5999137,1585.488896125265,4.3010430335998535,227,10
2018-09-10,09:47:33.000,1536572853000,8.5089522,46.5998832,1585.5529714207946,4.241759777069092,211,10
2018-09-10,09:47:35.000,1536572855000,8.5088543,46.5998083,1585.673773896482,6.143892765045166,217,10
2018-09-10,09:47:36.000,1536572856000,8.5087911,46.5997556,1585.7187334095004,6.753286838531494,224,10
2018-09-10,09:47:38.000,1536572858000,8.5086537,46.5996535,1585.6899155747083,7.2220048904418945,219,10
2018-09-10,09:47:40.000,1536572860000,8.5085225,46.5995435,1585.3243006183006,7.417763710021973,218,10
2018-09-10,09:47:42.000,1536572862000,8.5083797,46.5994313,1584.8307795805297,8.01219367980957,222,10
2018-09-10,09:47:44.000,1536572864000,8.5081988,46.5993319,1584.4233588285845,8.333592414855957,243,10
2018-09-10,09:47:46.000,1536572866000,8.5080006,46.5992621,1584.0573403511935,8.077657699584961,247,10
2018-09-10,09:47:48.000,1536572868000,8.5078103,46.5992067,1583.6846697169094,7.61799430847168,250,10
2018-09-10,09:47:49.000,1536572869000,8.5077179,46.599181,1583.5696453666783,7.564474582672119,246,10
2018-09-10,09:47:50.000,1536572870000,8.5076292,46.5991504,1583.4186609268793,7.422102928161621,242,10
2018-09-10,09:47:51.000,1536572871000,8.5075458,46.5991216,1583.3196270651056,7.092986583709717,242,10
2018-09-10,09:47:52.000,1536572872000,8.5074678,46.5990927,1583.2684048454148,6.890377044677734,239,10
2018-09-10,09:47:54.000,1536572874000,8.5073167,46.5990292,1583.228686235884,6.745732307434082,239,10
2018-09-10,09:47:55.000,1536572875000,8.5072441,46.5989974,1583.2006454719237,6.540910720825195,231,10
2018-09-10,09:47:56.000,1536572876000,8.5071773,46.5989618,1583.1910491682504,6.494308948516846,233,10
2018-09-10,09:47:58.000,1536572878000,8.5070425,46.5988878,1583.2918574143428,6.514725208282471,232,10
2018-09-10,09:48:00.000,1536572880000,8.506916,46.598816,1583.5315441275206,6.227732181549072,229,10
2018-09-10,09:48:02.000,1536572882000,8.5067951,46.5987481,1583.718191557754,5.9699883460998535,228,10
2018-09-10,09:48:04.000,1536572884000,8.5066859,46.5986896,1583.8370977276172,5.172833442687988,230,10
2018-09-10,09:48:05.000,1536572885000,8.5066412,46.5986646,1583.8453992835578,4.719069957733154,226,10
2018-09-10,09:48:06.000,1536572886000,8.5066216,46.5986535,1583.8677166495931,3.978123903274536,237,10
2018-09-10,09:48:07.000,1536572887000,8.5066019,46.5986424,1583.886028598035,3.2530124187469482,204,10
2018-09-10,09:48:09.000,1536572889000,8.5065859,46.5986226,1583.9490036395678,0,137,10
2018-09-10,09:48:11.000,1536572891000,8.5065932,46.5986179,1583.9769890192113,0.5410919189453125,63,10
2018-09-10,09:48:13.000,1536572893000,8.5066043,46.5986175,1584.0033402047252,0,63,10
2018-09-10,09:48:15.000,1536572895000,8.5066093,46.5986173,1584.0057319033172,0,63,10
2018-09-10,09:48:17.000,1536572897000,8.5066115,46.5986173,1584.009169980041,0,63,10
2018-09-10,09:48:18.000,1536572898000,8.5066122,46.5986173,1584.0114648651288,0,63,10
